name,url,street_address,city,state,zip_code,country,latitude,longitude
Naogoya Fushimi AT Bldg.,https://www.starbucks.com/store-locator/store/3498,1-18-22 Nishiki Naka-ku,Nagoya,JP,460-8633,US,35.168237,136.89453
Kiyose Eki-mae,https://www.starbucks.com/store-locator/store/3500,1-8-1 Motomachi,Kiyose,JP,204-0021,US,35.772576,139.519841
JR Takatsuki Eki Kita,https://www.starbucks.com/store-locator/store/3499,1-2 Akutagawacho,Takatsuki,JP,569-1123,US,34.851698,135.616801
Fussa SEIYU,https://www.starbucks.com/store-locator/store/3502,5-1 Higashicho,Fussa,JP,197-0021,US,35.742861,139.328097
Tobu Kita-senju Eki,https://www.starbucks.com/store-locator/store/3503,42-1 Senjuasahicho,Adachi-ku,JP,120-0026,US,35.750383,139.805827
Seki MAGO,https://www.starbucks.com/store-locator/store/3507,516 Kurachi,Seki,JP,501-3936,US,35.478074,136.899891
